group1,group2,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,target1
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-4.02238
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.45,118.71,7.344,10,4.42]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]",-4.00235
0,1,"[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.33,121.76,8.64,10,4.7]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.98907
0,1,"[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.97879
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.45,118.71,7.344,10,4.42]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.96529
0,1,"[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.45,118.71,7.344,10,4.42]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.96375
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.33,121.76,8.64,10,4.7]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.96153
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.33,121.76,8.64,10,4.7]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.91995
0,1,"[1.77,195.08,9.02,9,5.64] ","[1.77,195.08,9.02,9,5.64]","[1.33,121.76,8.64,10,4.7]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.91231
0,1,"[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.91104
0,1,"[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.90233
0,1,"[1.77,195.08,9.02,9,5.64] ","[1.49,58.693,7.64,8,5.35]","[1.45,118.71,7.344,10,4.42]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.8874
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.45,118.71,7.344,10,4.42]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]",-3.88348
0,1,"[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.87623
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.43,208.98,7.29,10,4.34]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]",-3.87189
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.45,118.71,7.344,10,4.42]","[1.33,121.76,8.64,10,4.7]","[1.33,121.76,8.64,10,4.7]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.86228
0,1,"[1.77,195.08,9.02,9,5.64] ","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.45,118.71,7.344,10,4.42]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.85075
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.33,121.76,8.64,10,4.7]","[1.45,118.71,7.344,10,4.42]","[1.45,118.71,7.344,10,4.42]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.84901
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.45,118.71,7.344,10,4.42]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]",-3.82154
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.45,118.71,7.344,10,4.42]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.8204
